ts,o,h,l,c,v
1787116620000,64381.0,64385.8,64380.0,64382.7,1.616158
1787116680000,64382.7,64382.8,64351.1,64351.1,2.245802
1787116740000,64351.1,64351.1,64335.0,64335.1,0.529904
1787116800000,64335.1,64335.1,64334.0,64334.0,0.264488
1787116860000,64334.0,64345.6,64334.0,64345.6,4.20435
1787116920000,64345.6,64346.6,64320.0,64320.0,4.328143
1787116980000,64320.0,64323.4,64308.0,64323.4,3.286084
1787117040000,64323.4,64325.5,64323.4,64325.4,0.516694
1787117100000,64325.4,64332.0,64325.4,64332.0,2.182103
1787117160000,64332.0,64357.8,64332.0,64357.8,1.646957
1787117220000,64357.8,64357.8,64352.5,64352.5,1.981118
1787117280000,64352.5,64361.0,64352.5,64361.0,1.208875
1787117340000,64361.0,64361.0,64352.6,64352.7,2.791435
1787117400000,64352.7,64352.7,64344.2,64344.2,1.77333
1787117460000,64344.2,64347.4,64339.8,64339.9,3.223514
1787117520000,64339.9,64341.9,64339.8,64341.9,0.969847
1787117580000,64341.9,64341.9,64341.8,64341.9,0.167584
1787117640000,64341.9,64341.9,64341.3,64341.3,0.792108
1787117700000,64341.3,64341.4,64335.0,64335.0,1.413545
1787117760000,64335.0,64335.0,64327.3,64327.4,0.522084
1787117820000,64327.4,64327.4,64326.5,64326.6,0.21455
1787117880000,64326.6,64326.6,64320.6,64320.6,2.057549
1787117940000,64320.6,64328.7,64320.6,64328.7,1.673503
1787118000000,64328.7,64336.6,64328.6,64332.0,3.200777
1787118060000,64332.0,64332.0,64318.2,64318.3,4.348662
1787118120000,64318.3,64318.3,64314.0,64314.0,0.34246
1787118180000,64314.0,64314.1,64314.0,64314.0,0.049822
1787118240000,64314.0,64314.1,64314.0,64314.0,0.064248
1787118300000,64314.0,64314.1,64305.8,64305.8,1.047273
1787118360000,64305.8,64305.9,64305.8,64305.9,0.011109
1787118420000,64305.9,64305.9,64295.2,64295.2,1.62033
1787118480000,64295.2,64295.2,64295.1,64295.2,0.005649
1787118540000,64295.2,64295.2,64295.1,64295.2,0.049424
1787118600000,64295.2,64295.2,64295.1,64295.2,0.088249
1787118660000,64295.2,64296.7,64281.6,64296.6,5.370282
1787118720000,64296.6,64307.0,64289.9,64289.9,3.691876
1787118780000,64289.9,64289.9,64247.3,64253.2,7.670998
1787118840000,64253.2,64259.9,64253.2,64254.6,2.479113
1787118900000,64254.6,64254.6,64246.9,64252.0,3.595999
1787118960000,64252.0,64260.7,64247.7,64258.1,4.605533
1787119020000,64258.1,64258.1,64248.7,64248.7,1.924651
1787119080000,64248.7,64248.7,64228.2,64231.3,4.633948
1787119140000,64231.3,64234.0,64230.1,64234.0,4.336601
1787119200000,64234.0,64249.0,64234.0,64248.7,2.501903
1787119260000,64248.7,64248.7,64212.1,64212.2,4.803831
1787119320000,64212.2,64218.5,64206.2,64206.2,7.555351
1787119380000,64206.2,64212.0,64197.1,64201.0,4.520554
1787119440000,64201.0,64214.7,64201.0,64210.8,2.633183
1787119500000,64210.8,64223.7,64210.8,64223.7,5.086805
1787119560000,64223.7,64223.7,64212.6,64220.7,6.541493
1787119620000,64220.7,64220.7,64202.8,64202.8,3.067992
1787119680000,64202.8,64202.8,64197.8,64197.8,0.554894
1787119740000,64197.8,64197.8,64175.7,64175.7,3.352589
1787119800000,64175.7,64182.2,64169.3,64182.2,10.40799
1787119860000,64182.2,64182.5,64174.1,64174.1,2.880849
1787119920000,64174.1,64174.1,64164.0,64164.1,1.588262
1787119980000,64164.1,64175.6,64164.0,64175.5,3.176771
1787120040000,64175.5,64175.6,64175.5,64175.6,0.563106
1787120100000,64175.6,64206.0,64175.5,64206.0,8.353136
1787120160000,64206.0,64215.5,64204.1,64215.5,3.329096
1787120220000,64215.5,64244.8,64215.5,64230.2,6.264337
1787120280000,64230.2,64240.7,64227.9,64240.7,4.839285
1787120340000,64240.7,64245.0,64240.7,64244.9,2.16815
1787120400000,64244.9,64266.9,64244.9,64266.9,3.334909
1787120460000,64266.9,64276.0,64266.6,64266.7,3.607119
1787120520000,64266.7,64278.0,64266.6,64277.8,6.710261
1787120580000,64277.8,64298.2,64276.1,64278.5,10.954757
1787120640000,64278.5,64305.4,64278.5,64298.6,6.583593
1787120700000,64298.6,64298.6,64278.5,64287.7,5.527187
1787120760000,64287.7,64287.8,64270.2,64270.2,2.701608
1787120820000,64270.2,64272.6,64267.2,64268.0,2.978832
1787120880000,64268.0,64268.0,64266.2,64266.3,0.378805
1787120940000,64266.3,64270.3,64266.2,64270.3,3.228912
1787121000000,64270.3,64279.2,64270.2,64274.5,4.757424
1787121060000,64274.5,64274.5,64272.4,64272.4,0.321186
1787121120000,64272.4,64272.4,64266.6,64269.7,3.141965
